"","Subject","File","Gender","Age","Color","Change","Total.time","Points","Clicker","Handeness","Language","Mobile","Normalized_button","Portrait","Strategy","Touch","User.agent","Window"
"1",1,"18071041-1505676689.json","m",71,"no","yes",6.03333333333333,"[69, 112, 42]","mouse","right","English","False","{'y': 0.09624483664084235, 'x': 0.26919572996048596}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.101 Safari/537.36",1280
"2",2,"902515090-1505745151.json","f",22,"no","no",3.15,"[45, 99, 19]","mouse","right","English","False","{'y': 0.10430916552667578, 'x': 0.2692307692307692}","False","","False","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1920
"3",3,"274808146-1505747706.json","m",38,"no","yes",3.83333333333333,"[47, 81, 20]","mouse","right","english","False","{'y': 0.09605356719601801, 'x': 0.26917150645964205}","False","none","False","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
"4",4,"285295024-1505682770.json","m",51,"I didn't have any difficulty distinguishing between the colors.","Yes, on some of the trials, I had the impression that the color changed.",5.38333333333333,"[50, 85, 23]","mouse","right","English","False","{'y': 0.09731991268493816, 'x': 0.2691842168966352}","False","I didn't use any special strategy other than paying close attention and making sure that I reacted to the most current color being displayed.  Thanks for the opportunity to participate and good luck with your research!","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
"5",5,"203601611-1505746862.json","f",36,"no","Yes",3.91666666666667,"[50, 84, 25]","mouse","right","english","False","{'y': 0.09580592105263158, 'x': 0.2691694523013628}","False","","False","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36",1440
"6",6,"196570697-1505744649.json","m",53,"No","Yes",3.26666666666667,"[44, 80, 26]","mouse","left","English","False","{'y': 0.09671600370027753, 'x': 0.26922365988909425}","False","","False","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/60.0.3112.113 Chrome/60.0.3112.113 Safari/537.36",1806
"7",7,"113962457-1505746571.json","f",40,"NO","YES",4.76666666666667,"[54, 103, 20]","mouse","right","ENGLISH","False","{'y': 0.09595362044486512, 'x': 0.26920345603029944}","False","","False","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
"8",8,"268876353-1505749218.json","m",33,"n/a","Seemed to change when I got close to one of the color selections - it would swap to the other at the last second.",3.41666666666667,"[48, 100, 19]","mouse","right","English","False","{'y': 0.09615384615384616, 'x': 0.2692307692307692}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",1366
"9",9,"44378615-1505676452.json","f",55,"no","It seemed mostly the color did not change, but sometimes one that started as red changed quickly to blue.",5.3,"[44, 80, 6]","trackpad","right","english","False","{'y': 0.09504427088563423, 'x': 0.26920876085793216}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36",758
"10",10,"80387738-1505678551.json","m",31,"No","Yes",3.66666666666667,"[99, 211, 57]","mouse","right","English","False","{'y': 0.09821852731591449, 'x': 0.26916363421200556}","False","","False","Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",1024
