"","Subject","File","Gender","Age","Total.time","Points","Clicker","Handeness","Language","Mobile","Normalized_button","Portrait","Strategy","Touch","User.agent","Window"
"1",1,"106845723-1494336437.json","f",30,2.3,"[93, 212, 38]","mouse","right","english","False","{'y': 0.1024390243902439, 'x': 0.5}","False","none","True","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1600
"2",2,"140760353-1494339479.json","f",55,9.26666666666667,"[95, 191, 55]","mouse","right","english","False","{'y': 0.10249307479224377, 'x': 0.5}","False","thanx","False","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1261
"3",3,"197340406-1494334389.json","f",35,2.73333333333333,"[183, 1021, 36]","mouse","right","English","False","{'y': 0.10246803449301219, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1026
"4",4,"202400305-1494334763.json","m",32,1.7,"[121, 574, 49]","mouse","right","English","False","{'y': 0.10228776706371714, 'x': 0.4999307127349993}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1064
"5",5,"215128255-1494334898.json","m",27,2.45,"[147, 400, 75]","mouse","right","English","False","{'y': 0.10280026332845643, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1280
"6",6,"228158073-1494335112.json","f",39,11.5166666666667,"[149, 478, 79]","mouse","left","English","False","{'y': 0.10237464566197314, 'x': 0.5}","False","Thank you! I wish you well with your research!
","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1274
"7",7,"235624554-1494336772.json","f",42,2.03333333333333,"[132, 393, 59]","mouse","right","english","False","{'y': 0.10244229884501906, 'x': 0.49999996404997715}","False","","False","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",896
"8",8,"256763782-1494334395.json","f",33,3.3,"[159, 586, 23]","mouse","left","English","False","{'y': 0.1024390243902439, 'x': 0.5}","False","this was interesting","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3088.3 Safari/537.36",1600
"9",9,"265884941-1494334326.json","m",23,2.41666666666667,"[200, 555, 84]","mouse","right","English","False","{'y': 0.10229833258224426, 'x': 0.5}","False","","False","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",934
"10",10,"270927266-1494334558.json","m",26,1.96666666666667,"[703, 3418, 297]","mouse","left","english","False","{'y': 0.1026287360460929, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1920
"11",11,"275752807-1494334301.json","m",50,2.86666666666667,"[190, 389, 107]","mouse","right","English","False","{'y': 0.10237464566197314, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1280
"12",12,"295000135-1494335225.json","f",29,2.76666666666667,"[113, 354, 27]","mouse","right","English","False","{'y': 0.10258107213765719, 'x': 0.5}","False","No strategy in particular.","False","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1272
"13",13,"298417916-1494334254.json","f",38,2.63333333333333,"[172, 424, 52]","mouse","right","english","False","{'y': 0.10234641353031619, 'x': 0.5}","False","","True","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1366
"14",14,"310380634-1494334254.json","m",32,2.05,"[164, 459, 49]","mouse","right","English","False","{'y': 0.10258548790658882, 'x': 0.5}","False","","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1920
"15",15,"33334630-1494334612.json","f",46,3.16666666666667,"[209, 371, 88]","mouse","right","English","False","{'y': 0.10256289677874442, 'x': 0.500412881915772}","False","Thanks!","False","Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",1280
"16",16,"338671313-1494334401.json","f",30,2.21666666666667,"[164, 1508, 53]","mouse","left","English","False","{'y': 0.10234641353031619, 'x': 0.5}","False","I have no comment.","False","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1366
"17",17,"351199415-1494337371.json","f",30,1.5,"[99, 196, 39]","mouse","left","english","False","{'y': 0.10234255519948757, 'x': 0.5}","False","just tried to go as fast as possible while answering correctly. ","True","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1280
"18",18,"372832830-1494334602.json","f",36,3.41666666666667,"[394, 1361, 171]","mouse","right","English","False","{'y': 0.10236656082797535, 'x': 0.49989179651112853}","False","No special strategy.","False","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1280
"19",19,"38886275-1494334550.json","m",61,2.93333333333333,"[110, 242, 39]","mouse","right","english","False","{'y': 0.1026678554282971, 'x': 0.5}","False","none really ","False","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",1241
